"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-14","0.0","22.8","31.4","14.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-15",,"20.5","30.4",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-16",,"20.7","30.3","10.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-17",,"21.3","30.3","11.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-18",,"21.1","30.8","12.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-19",,"22.2","30.6","12.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-20",,"22.5","31.3","13.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-21",,"23.0","33.6","16.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-22",,"25.4",,"18.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-23",,"25.1",,"16.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-24",,"23.2","34.1","16.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-25",,"25.0",,"15.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-26",,"25.7",,"17.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-03-27",,"31.2",,"19.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-03",,"27.3",,"17.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-04",,"28.8","36.6","20.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-05",,"28.8","36.8","20.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-06",,"28.3","36.4","20.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-07",,"26.3","35.1","16.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-08",,"27.5",,"17.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-09",,"27.6","37.1","17.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-10",,"27.6","38.0","17.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-11",,"29.0","39.1","19.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-12",,"29.9","39.0","21.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-13",,"28.4","39.4","23.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-14",,"26.2","39.3","21.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-15","0.0","28.4",,"21.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-19",,"32.0","39.4","24.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-20",,"30.4","39.4","23.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-21",,"29.8","37.2","24.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-22","0.0","29.8","37.6","23.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-23",,"27.2","37.6",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-24",,"28.8","36.8","19.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-25",,"30.2",,"20.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-26",,"30.3",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-27",,"30.7","40.5","22.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-28","0.0","30.3","38.0","23.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-29",,"30.3","38.2","22.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-04-30",,"29.1","38.3","22.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-02",,"27.6",,"19.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-03",,"29.4",,"18.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-04",,"31.4",,"23.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-05",,"32.4",,"22.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-06",,"32.6","41.1","24.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-07",,"33.6",,"24.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-08",,"31.5","42.0","27.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-09",,"32.0","38.2","26.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-10",,"32.5","38.8",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-11",,"31.7",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-12",,"32.6","38.7","25.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-13",,"31.9",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-14",,"32.2","40.2","23.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-15",,"32.3",,"22.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-16",,"33.4",,"24.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-17",,"34.9",,"25.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-18",,"35.6","43.6","27.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-19",,"37.0",,"28.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-20",,"36.3","44.4","29.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-21",,"35.3","44.1","30.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-22",,"36.1","42.4","30.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-23",,"35.3","43.4","30.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-24",,"35.1","41.0","30.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-25",,"35.9",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-26",,"37.3",,"27.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-27",,"36.5","45.4","29.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-28",,"37.1",,"27.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-29",,"37.0","45.8","29.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-30","0.0","37.8","46.8","30.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-05-31",,"36.9","45.6","29.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-01",,"36.1","45.8","30.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-02",,"36.8","44.2","30.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-03",,"37.3",,"30.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-04","0.0","36.1","44.6","30.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-05",,"36.2","43.8",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-06","1.0","33.4","44.0","24.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-07","0.0","35.8",,"28.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-08",,"36.1","43.0","30.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-09",,"34.7",,"27.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-10",,"36.2",,"28.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-11",,"35.4","43.4","28.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-12",,"36.2","44.7","28.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-13",,"38.7","44.7","29.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-14",,"38.4","44.8","33.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-15",,"38.4","44.0","32.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-16",,"38.5","44.6","33.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-17",,"39.1","44.9","33.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-18",,"39.0","45.2","33.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-19",,"38.3","44.0",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-20",,"34.2","43.6","29.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-21",,"31.9","40.0","28.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-22",,"33.8","40.4","28.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-23","0.0","34.9","39.4","29.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-24","0.5","33.5","39.8",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-25","1.0","34.8","40.4","28.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-26","0.0","34.1","39.7","31.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-27","0.0","31.9","39.0","28.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-28","228.1","28.2","35.3","24.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-29","0.0","29.9",,"28.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-06-30","8.9","33.3",,"27.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-01","0.0","32.8","37.1","28.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-02",,"32.9","36.0",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-03",,"28.8","36.7",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-04","8.9","28.9","34.1","24.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-05","0.5","29.8",,"27.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-06","0.5","30.2",,"27.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-07","0.0","30.3",,"26.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-08",,"29.0","35.8","25.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-09",,"29.3","32.2","27.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-10",,"30.3",,"27.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-11",,"33.5",,"27.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-12",,"31.6","38.8","29.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-13",,"30.6",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-14","14.0","32.1",,"27.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-15","0.0","31.8","37.1","29.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-16","3.0","33.8",,"29.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-17","0.0","32.8","38.4","29.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-18",,"31.5","37.2",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-19",,"31.7","37.0","27.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-20",,"34.6",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-21","7.1","32.4","37.8","26.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-22","0.0","30.3","36.6",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-23","31.0","32.6","36.4","27.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-24","26.9","29.1","36.2","24.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-25","19.1","31.4",,"26.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-26","39.1","29.9","36.2","25.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-27","0.0","31.2",,"28.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-28",,"33.7",,"28.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-29","0.0","34.0","38.4","29.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-30",,"35.0",,"30.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-07-31","0.0","31.9","39.3",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-01","108.0","29.2","37.8","24.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-02","2.0","30.8","33.4","26.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-03","0.0","31.3",,"27.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-04","0.5","30.7",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-05","5.1","30.4","36.0","26.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-06","0.0","30.3",,"26.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-07","0.3","28.0","35.2","26.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-08","21.1","29.4",,"25.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-09","3.0","29.4",,"26.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-10","17.0","29.3","34.8","25.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-11","3.0","27.8","32.8","26.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-13","20.1","28.7",,"25.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-14","13.0","31.2",,"26.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-15","0.0","29.7","35.4",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-16","14.0","30.5",,"25.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-17","6.1","30.7","35.2","27.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-18","0.0","30.9","35.5","27.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-19","0.0","31.3",,"27.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-20",,"28.8","35.6","23.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-21",,"30.8",,"25.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-22",,"31.3","36.2","26.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-23","4.1","28.4","36.6","26.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-24","0.0","30.9",,"25.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-25","0.5","31.2","35.6","25.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-26","0.0","30.4","35.6",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-27","17.0","29.4","35.6","22.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-28","9.9","28.8","34.2","23.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-29","77.0","26.7","34.0","23.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-30","11.9","29.7",,"24.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-08-31","0.0","31.9","35.0","25.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-01",,"31.8","35.6","26.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-02","0.0","29.3","36.3","26.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-03","23.1","31.1",,"26.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-04","0.8","26.8","36.2",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-05","10.9","29.0","32.4","23.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-06","37.1","28.0","33.6","23.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-07","0.0","28.3",,"24.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-08","2.0","28.1","34.4","25.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-09","0.3","29.6",,"25.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-10","0.0","28.5",,"25.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-11","6.1","28.9","35.4","23.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-12","16.0","25.7","32.6","23.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-13","30.0","24.8","27.9","21.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-14","56.9","27.1",,"21.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-15","0.0","28.8",,"23.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-16",,"29.2",,"24.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-17",,"29.1","34.1","24.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-18",,"25.3","34.8",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-19",,"27.2",,"21.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-20",,"29.6",,"23.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-21",,"30.1",,"25.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-22",,"31.2","35.6","25.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-23",,"31.6",,"24.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-24",,"31.9",,"26.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-25",,"31.1","37.4","26.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-26",,"30.6","37.3","25.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-27",,"30.3","35.7",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-28",,"29.3","34.2","25.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-29",,"30.4","33.6","25.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-09-30",,"30.1","34.7","25.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-01",,"30.2",,"26.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-02",,"30.8",,"26.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-03",,"30.2","37.2",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-04",,"29.9","37.0","24.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-05",,"29.9","36.5","26.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-06",,"29.7","36.5","24.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-07",,"28.4","35.7","23.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-08",,"28.4","35.4","23.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-09",,"28.3","35.7","22.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-10",,"27.2","34.6",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-11",,"26.2","34.5","20.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-12",,"26.4",,"18.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-13",,"26.5",,"18.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-14",,"25.8","35.1","18.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-15",,"25.7","34.4","17.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-16",,"26.4",,"19.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-17",,"26.6","35.4","20.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-18",,"26.8","36.2","19.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-19",,"27.2","36.2","20.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-20",,"27.9","36.5","20.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-21",,"26.7","35.8","20.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-22",,"26.0","34.7","20.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-23",,"26.3","34.0","20.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-24",,"26.2",,"20.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-25",,"25.2","34.0","19.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-26",,"26.3","34.0","18.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-27",,"27.7",,"20.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-28",,"26.3","34.2","20.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-29",,"27.4",,"20.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-30",,"27.4","35.8","21.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-10-31",,"26.1","36.1","21.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-01",,"24.4","34.1","18.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-02",,"24.0","33.6","17.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-03",,"23.6","33.9","16.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-04",,"23.4","33.2","16.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-05",,"23.5","32.1","17.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-06",,"23.8","32.6","17.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-07",,"23.8","32.3","18.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-08",,"23.8","31.7","18.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-09",,"24.1","31.7","18.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-10",,"23.7","32.5","18.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-11",,"23.6","31.6","17.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-12",,"23.5","32.4","17.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-13",,"21.2","32.8","17.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-14",,"21.0",,"16.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-15",,"21.5",,"15.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-16",,"21.3","30.5","15.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-17",,"20.7","29.6","15.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-22",,"17.5","27.0","11.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-23",,"18.5",,"11.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-24",,"19.2","29.4","12.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-25",,"18.8","29.1","14.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-26",,"18.7",,"11.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-27",,"17.9","26.7","10.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-28",,"16.5","27.3","10.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-29",,"16.1","27.0","9.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-11-30",,"18.1","26.4","9.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-02",,"17.7","27.0","10.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-03",,"18.5",,"10.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-04",,"16.6","28.2",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-05",,"16.8","28.0","8.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-06",,"15.4","25.1","8.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-07",,"14.3","25.1","7.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-08",,"15.5","25.4","7.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-09",,"13.4","23.7","8.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-10",,"12.9",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-11",,"12.4","23.0","4.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-12",,"12.8","23.0","4.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-13",,"14.8","22.2","9.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-14",,"13.2","22.8",
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-15",,"12.1","23.4","4.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-16",,"12.5",,"4.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-17",,"12.9","24.5","5.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-18",,"10.2","24.4","7.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-19",,"11.6","23.0","5.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-20",,"14.1","23.0","7.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-21",,"13.5","23.3","7.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-22",,"13.8","23.4","7.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-23","0.0","13.6","24.1","8.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-24","0.5","14.6",,"9.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-25","3.0","14.3",,"8.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-26","0.0","15.4",,"8.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-27","8.9","14.3","24.1","11.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-28","40.9","14.7",,"12.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-29","0.0","13.7",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-30",,"11.9","18.0","10.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2024-12-31",,"11.9",,
